2026-04-18 00:44:40.156 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.290 mean=0.315 z=-0.23
2026-04-18 00:44:40.157 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.320 mean=0.310 z=+0.10
2026-04-18 00:44:40.159 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.300 mean=0.307 z=-0.07
2026-04-18 00:44:40.160 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.273 mean=0.304 z=-0.32
2026-04-18 00:44:40.160 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.273 mean=0.301 z=-0.29
2026-04-18 00:44:40.160 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.269 mean=0.297 z=-0.29
2026-04-18 00:44:40.160 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.250 mean=0.293 z=-0.46
2026-04-18 00:44:40.161 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.273 mean=0.290 z=-0.18
2026-04-18 00:44:40.161 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.302 mean=0.287 z=+0.16
2026-04-18 00:44:40.161 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.313 mean=0.286 z=+0.31
2026-04-18 00:44:40.161 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.349 mean=0.284 z=+0.73
2026-04-18 00:44:40.161 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.322 mean=0.283 z=+0.46
2026-04-18 00:44:40.162 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.300 mean=0.280 z=+0.24
2026-04-18 00:44:40.162 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.294 mean=0.278 z=+0.20
2026-04-18 00:44:40.162 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.283 mean=0.274 z=+0.11
2026-04-18 00:44:40.162 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.264 mean=0.272 z=-0.11
2026-04-18 00:44:40.163 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.250 mean=0.268 z=-0.26
2026-04-18 00:44:40.163 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.236 mean=0.264 z=-0.43
2026-04-18 00:44:40.163 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.238 mean=0.260 z=-0.35
2026-04-18 00:44:40.163 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.212 mean=0.257 z=-0.77
